t=2026-07-25T14:14:00+0100 lvl=info msg="no configuration paths supplied"
t=2026-07-25T14:14:00+0100 lvl=info msg="using configuration at default config path" path="/Users/a/Library/Application Support/ngrok/ngrok.yml"
t=2026-07-25T14:14:00+0100 lvl=info msg="open config file" path="/Users/a/Library/Application Support/ngrok/ngrok.yml" err=<nil>
t=2026-07-25T14:17:31+0100 lvl=info msg="join connections" obj=join id=8d187c68e428 l=[::1]:3000 r=105.127.13.198:19443
t=2026-07-25T14:17:31+0100 lvl=info msg="join connections" obj=join id=45840c45d960 l=[::1]:3000 r=105.127.13.198:19430
t=2026-07-25T14:17:31+0100 lvl=info msg="join connections" obj=join id=8a3963e9b91f l=[::1]:3000 r=105.127.13.198:19436
t=2026-07-25T14:17:32+0100 lvl=info msg="join connections" obj=join id=687dfb687db8 l=[::1]:3000 r=105.127.13.198:19430
t=2026-07-25T14:17:32+0100 lvl=info msg="join connections" obj=join id=de4b6fae7bee l=[::1]:3000 r=105.127.13.198:19430
t=2026-07-25T14:17:32+0100 lvl=info msg="join connections" obj=join id=bd263333b36a l=[::1]:3000 r=105.127.13.198:19436
t=2026-07-25T14:17:32+0100 lvl=info msg="join connections" obj=join id=73c6b98365ca l=[::1]:3000 r=105.127.13.198:19436
t=2026-07-25T14:17:32+0100 lvl=info msg="join connections" obj=join id=391d5e1b88a8 l=[::1]:3000 r=105.127.13.198:19436
t=2026-07-25T14:17:32+0100 lvl=info msg="join connections" obj=join id=9368ea115b4f l=[::1]:3000 r=105.127.13.198:19436
t=2026-07-25T14:17:32+0100 lvl=info msg="join connections" obj=join id=caf372e49ede l=[::1]:3000 r=105.127.13.198:19436
t=2026-07-25T14:17:32+0100 lvl=info msg="join connections" obj=join id=a1aed68025d2 l=[::1]:3000 r=105.127.13.198:19436
t=2026-07-25T14:17:32+0100 lvl=info msg="join connections" obj=join id=8c4e3900d5d2 l=[::1]:3000 r=105.127.13.198:19436
t=2026-07-25T14:17:32+0100 lvl=info msg="join connections" obj=join id=ff892e1442c8 l=[::1]:3000 r=105.127.13.198:19436
t=2026-07-25T14:17:32+0100 lvl=info msg="join connections" obj=join id=b3f61e1a7885 l=[::1]:3000 r=105.127.13.198:19436
t=2026-07-25T14:17:32+0100 lvl=info msg="join connections" obj=join id=e58978149d7f l=[::1]:3000 r=105.127.13.198:19436
t=2026-07-25T14:17:32+0100 lvl=info msg="join connections" obj=join id=8b014a36c335 l=[::1]:3000 r=105.127.13.198:19436
t=2026-07-25T14:17:32+0100 lvl=info msg="join connections" obj=join id=23553de4815d l=[::1]:3000 r=105.127.13.198:19436
t=2026-07-25T14:17:32+0100 lvl=info msg="join connections" obj=join id=fd3b9a9e6967 l=[::1]:3000 r=105.127.13.198:19436
t=2026-07-25T14:17:32+0100 lvl=info msg="join connections" obj=join id=7a1104722bfe l=[::1]:3000 r=105.127.13.198:19436
t=2026-07-25T14:17:32+0100 lvl=info msg="join connections" obj=join id=2d08408e0262 l=[::1]:3000 r=105.127.13.198:19436
t=2026-07-25T14:17:32+0100 lvl=info msg="join connections" obj=join id=de3e50d308eb l=[::1]:3000 r=105.127.13.198:19436
